latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
39.9531,-120.54163,311.3,0.47,0.48,2017-11-02,0924,N,VIIRS,n,1,279.3,2.9,0
39.76941,-120.61516,342.5,0.44,0.38,2017-11-06,2112,N,VIIRS,n,1,283.5,7.4,0
39.76961,-120.61487,306.9,0.39,0.44,2017-11-07,0930,N,VIIRS,n,1,271.1,1.4,0
39.76987,-120.61823,328.5,0.39,0.36,2017-11-07,2053,N,VIIRS,n,1,285.1,5.3,0
39.85267,-120.734,332.3,0.39,0.36,2017-11-07,2053,N,VIIRS,n,1,286.6,6.6,0
39.85671,-120.73048,328,0.39,0.36,2017-11-07,2053,N,VIIRS,n,1,282,4.5,0
39.88767,-120.77988,299.7,0.38,0.36,2017-11-27,0955,N,VIIRS,n,1,274.7,0.8,0
39.88371,-120.77624,295.6,0.38,0.36,2017-11-27,0955,N,VIIRS,n,1,274.3,0.5,0
39.64909,-120.45889,338.9,0.38,0.36,2017-11-28,2059,N,VIIRS,n,1,278.6,5,0
39.82151,-120.44911,304.5,0.46,0.47,2018-01-05,0924,N,VIIRS,n,1,276.2,2.7,0
39.83993,-120.59961,352.9,0.55,0.68,2018-02-14,1956,N,VIIRS,n,1,273.9,11.1,0
39.64944,-120.45773,339.1,0.39,0.44,2018-02-20,2123,N,VIIRS,n,1,267.3,5,0
39.83012,-120.60801,336.2,0.4,0.37,2018-02-21,2104,N,VIIRS,n,1,273.2,32.1,0
39.82949,-120.61259,356.7,0.4,0.37,2018-02-21,2104,N,VIIRS,n,1,281.8,22.3,0
39.82885,-120.61716,356.2,0.4,0.37,2018-02-21,2104,N,VIIRS,n,1,279,22.3,0
39.83155,-120.62259,326.5,0.4,0.37,2018-02-21,2104,N,VIIRS,n,1,273.4,4.4,0
39.83218,-120.61801,367,0.4,0.37,2018-02-21,2104,N,VIIRS,l,1,279.8,22.3,0
39.83488,-120.6234,333.9,0.4,0.37,2018-02-21,2104,N,VIIRS,n,1,275.6,7.8,0
